точнее сказать,2,(ADV | PARENTH | ADVPRO | CONJ | PART | PRAEDIC)(V),551,550,3072,84811,19993463,единый,,,
а в результате,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (PR) (S),580,576,174812,915763,5380,3106355,вопрос,,
чтобы не сказать,3,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART)(V),597,597,59410,1412812,10188,4653312,единый,,
в силу того что,4,(PR)(S)(SPRO)(ADV | PARENTH  |  ADVPRO  |  CONJ  |  PART | SPRO)  ,623,623,63863,1018,12239,14083,205820,единый,
а оттого,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),627,626,890778,7798,14358364,вопрос,,,
а не то что,4,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART) (SPRO) (ADV | PARENTH | ADVPRO | CONJ | PART|SPRO),671,665,35558,15251,24120,16933,415373,единый,
насчёт того что,3,(PR)(SPRO)(ADV | PARENTH | ADVPRO | SPRO | CONJ | PART),673,672,1448,74682,298502,1839989,единый,,
наряду с этим,3,(ADV | PARENTH | ADVPRO | CONJ | PART)(PR)(SPRO) ,763,694,994,119352,9145,1120153,единый,,
к слову сказать,3,(PR)(S)(V),700,700,136758,1388,5037,3026889,единый,,
вернее сказать,2,(ADV | PARENTH | PRAEDIC | ADVPRO | CONJ | PART)(V),708,708,4346,84811,19993463,единый,,,
в связи с чем,4,(PR)(S)(PR)(SPRO),714,714,55216,6113,20633,3331,167715,единый,
отчего и,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),725,725,13545,1508594,14358364,вопрос,,,
помимо того,2,(PR)(SPRO),799,772,3110,222771,5368295,единый,,,
потому чтобы,2,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART),795,794,248850,61291,14358364,единый,,,
точь-в-точь как,2,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),801,801,927,535543,14358364,единый,,,
на случай если,3,(PR)(S)(ADV | PARENTH | ADVPRO | CONJ | PART) ,809,809,596692,1068,22970,3756889,единый,,
а в особенности,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (PR) (S),825,820,174812,915763,5623,3106355,вопрос,,
вследствие того что,3,(PR)(SPRO)(ADV | PARENTH | ADVPRO | SPRO |CONJ | PART),850,850,2496,74682,298502,1839989,единый,,
по той причине что,4,(PR)(APRO)(S)(ADV|PARENTH|SPRO|ADVPRO|CONJ|PART),858,858,49263,9243,1863,34175,973404,единый,
по поводу того что,4,(PR)(S)(SPRO)(ADV|PARENTH|ADVPRO|CONJ|PART|SPRO),883,883,14516,1247,12239,14083,205820,единый,
но и то,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART) (SPRO),1177,924,89487,115444,36200,1291775,вопрос,,
ради того чтобы,3,(PR)(SPRO)(ADV | PARENTH | ADVPRO | CONJ | PART) ,978,977,2409,129309,90899,1497018,единый,,
и вот почему,3,(ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART) (ADV | PARENTH | ADVPRO | CONJ | PART),979,979,543342,63037,5420,3270477,единый,,
сразу как,2,(ADV | PARENTH | ADVPRO | CONJ | PART)(ADV | PARENTH | ADVPRO | CONJ | PART),983,983,30406,535543,14358364,единый,,,
